repository,file_path,extension,size_bytes,total_thrust,nvidia_apis,thrust_patterns
NVIDIA/thrust,testing/partition.cu,.cu,58411,1130,116,"{'thrust::': 492, '#include\\s*<thrust/': 6, 'thrust\\s*::\\s*\\w+': 492, 'device_vector\\s*<': 78, 'host_vector\\s*<': 62}"
NVIDIA/thrust,CHANGELOG.md,.md,100611,965,67,"{'thrust::': 488, 'thrust\\s*::\\s*\\w+': 476, 'device_vector\\s*<': 1}"
NVIDIA/thrust,thrust/binary_search.h,.h,84960,724,0,"{'thrust::': 292, '#include\\s*<thrust/': 88, 'thrust\\s*::\\s*\\w+': 292, 'device_vector\\s*<': 52}"
NVIDIA/thrust,testing/transform.cu,.cu,27167,491,61,"{'thrust::': 210, '#include\\s*<thrust/': 7, 'thrust\\s*::\\s*\\w+': 210, 'device_vector\\s*<': 37, 'host_vector\\s*<': 27}"
NVIDIA/thrust,testing/copy.cu,.cu,23176,398,26,"{'thrust::': 164, '#include\\s*<thrust/': 10, 'thrust\\s*::\\s*\\w+': 164, 'device_vector\\s*<': 34, 'host_vector\\s*<': 26}"
NVIDIA/thrust,testing/remove.cu,.cu,21934,360,22,"{'thrust::': 153, '#include\\s*<thrust/': 6, 'thrust\\s*::\\s*\\w+': 153, 'device_vector\\s*<': 30, 'host_vector\\s*<': 18}"
NVIDIA/thrust,testing/scan.cu,.cu,24351,337,36,"{'thrust::': 145, '#include\\s*<thrust/': 8, 'thrust\\s*::\\s*\\w+': 145, 'device_vector\\s*<': 22, 'host_vector\\s*<': 17}"
NVIDIA/thrust,testing/async_reduce.cu,.cu,34267,351,6,"{'thrust::': 161, '#include\\s*<thrust/': 5, 'thrust\\s*::\\s*\\w+': 161, 'device_vector\\s*<': 14, 'host_vector\\s*<': 10}"
NVIDIA/thrust,testing/unique_by_key.cu,.cu,15785,297,23,"{'thrust::': 126, '#include\\s*<thrust/': 4, 'thrust\\s*::\\s*\\w+': 126, 'device_vector\\s*<': 22, 'host_vector\\s*<': 19}"
NVIDIA/thrust,thrust/functional.h,.h,55075,301,13,"{'thrust::': 104, '#include\\s*<thrust/': 63, 'thrust\\s*::\\s*\\w+': 104, 'device_vector\\s*<': 30}"
neka-nat/cupoch,src/cupoch/geometry/trianglemesh.cu,.cu,49876,445,62,"{'thrust::': 181, '#include\\s*<thrust/': 7, 'thrust\\s*::\\s*\\w+': 181, 'device_vector\\s*<': 62, 'host_vector\\s*<': 14}"
neka-nat/cupoch,src/cupoch/geometry/graph.cu,.cu,34223,314,51,"{'thrust::': 128, '#include\\s*<thrust/': 6, 'thrust\\s*::\\s*\\w+': 128, 'device_vector\\s*<': 38, 'host_vector\\s*<': 14}"
neka-nat/cupoch,src/tests/geometry/trianglemesh.cpp,.cpp,53062,312,0,"{'thrust::': 104, 'thrust\\s*::\\s*\\w+': 104, 'host_vector\\s*<': 104}"
neka-nat/cupoch,src/cupoch/integration/uniform_tsdfvolume.cu,.cu,43726,241,48,"{'thrust::': 115, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 115, 'device_vector\\s*<': 8}"
