repository,stars,forks,language,combined_score,files_analyzed,total_thrust_usage,total_api_calls,clone_size_mb,analysis_time_seconds,top_extension_by_thrust,thrust_files_count
NVIDIA/thrust,4985,766,C++,80.8592,1073,36657,1319,8.522140502929688,1.529138,.cu,10
neka-nat/cupoch,991,115,C++,64.102,692,7327,835,160.50503826141357,7.908631,.cu,10
QMCPACK/qmcpack,355,147,C++,61.5964,3168,4721,44,552.4557399749756,16.632047,.cu,10
NVIDIA/cub,1772,459,Cuda,67.6388,298,4633,70,5.964618682861328,1.034568,.cu,10
NVIDIA/AMGX,586,160,Cuda,62.536,585,3798,383,9.799039840698242,1.377135,.cu,10
NVIDIA/cuCollections,568,97,C++,62.3884,200,2073,181,5.139608383178711,0.852398,.cu,10
GooFit/GooFit,138,41,Cuda,60.6012,487,1663,184,38.31895065307617,2.052923,.cu,10
JanuszBedkowski/gpu_computing_in_robotics,465,130,C++,62.016,223,1008,43,224.7855405807495,10.669926,.cu,10
cupy/cupy,10425,942,Python,100.0,998,671,17,13.783631324768066,1.817217,.py,10
NVIDIA/MinkowskiEngine,2745,416,Python,71.4792,201,418,80,12.67839527130127,1.194945,.cu,10
boostorg/compute,1622,337,C++,66.8924,637,312,5,3.1722822189331055,0.742255,.cu,10
NVIDIA/VisRTX,258,32,C++,61.0704,1021,213,18,59.685340881347656,2.102388,.cu,10
ToruNiina/lbvh,214,31,Cuda,60.8932,11,180,26,0.08876419067382812,0.27874,.cuh,5
OpenNMT/CTranslate2,3965,380,C++,76.316,466,150,27,9.169207572937012,0.999868,.cu,10
NVIDIA/nvbench,700,85,Cuda,62.902,204,124,0,3.0153942108154297,0.514176,.cu,9
NVIDIA/retinanet-examples,895,269,Python,63.9028,55,99,12,0.3773460388183594,0.385269,.cu,5
NVIDIA/cuda-quantum,770,269,C++,63.4028,1667,78,0,234.71599197387695,13.91734,.cu,4
JuliaGPU/AcceleratedKernels.jl,155,4,Julia,60.6248,98,29,4,3.523585319519043,0.51074,.cu,5
NVIDIA/spark-rapids-examples,160,56,Jupyter Notebook,60.7072,140,23,8,15.09305477142334,1.224775,.cu,2
zpzim/SCAMP,185,38,C++,60.7856,119,11,1,121.72519207000732,6.18052,.cu,1
