repository_name,github_url
0426orange/Apollo-Project,https://github.com/0426orange/Apollo-Project
216k155/ccminer-phi-anxmod,https://github.com/216k155/ccminer-phi-anxmod
4dmud/mud,https://github.com/4dmud/mud
528-dev/stanford-cs149-asst3,https://github.com/528-dev/stanford-cs149-asst3
96lives/ssen,https://github.com/96lives/ssen
ANL-CESAR/RSBench,https://github.com/ANL-CESAR/RSBench
ANL-CESAR/XSBench,https://github.com/ANL-CESAR/XSBench
AdelaideAuto-IDLab/Megopolis,https://github.com/AdelaideAuto-IDLab/Megopolis
AfonsoAlemao/GPU-Acceleration-with-CUDA-Parallelizing-Programs-for-High-Performance,https://github.com/AfonsoAlemao/GPU-Acceleration-with-CUDA-Parallelizing-Programs-for-High-Performance
Agade09/CSB-Runner-Arena,https://github.com/Agade09/CSB-Runner-Arena
AlirezaAbrishami/rocketTVCSimulation,https://github.com/AlirezaAbrishami/rocketTVCSimulation
AngusKung/ARwithGPU,https://github.com/AngusKung/ARwithGPU
AnkaChan/Gaia,https://github.com/AnkaChan/Gaia
ArchaeaSoftware/cudahandbook,https://github.com/ArchaeaSoftware/cudahandbook
AstroGPU/ExofastGpu,https://github.com/AstroGPU/ExofastGpu
AustinSnyd3r/FlockingProject,https://github.com/AustinSnyd3r/FlockingProject
BAMMri/MyoQMRI,https://github.com/BAMMri/MyoQMRI
BHSPitMonkey/Helii-Arduboy,https://github.com/BHSPitMonkey/Helii-Arduboy
BenMcLean/WOLF3D,https://github.com/BenMcLean/WOLF3D
BenbenIO/simple-Mavlink-C-rover,https://github.com/BenbenIO/simple-Mavlink-C-rover
BienBoy/CS149-asst3,https://github.com/BienBoy/CS149-asst3
BirchJD/AsteroidsSDL,https://github.com/BirchJD/AsteroidsSDL
BlackStormDSW/ShipControl3D,https://github.com/BlackStormDSW/ShipControl3D
CTKnight/FluidSimulator,https://github.com/CTKnight/FluidSimulator
Cann-E/N_Body_Sim,https://github.com/Cann-E/N_Body_Sim
Cindytb/Convolution-Reverb-Benchmarks,https://github.com/Cindytb/Convolution-Reverb-Benchmarks
CoinCheung/pytorch-loss,https://github.com/CoinCheung/pytorch-loss
ConorHetland/asteroids,https://github.com/ConorHetland/asteroids
Darksonn/newton-riemann,https://github.com/Darksonn/newton-riemann
DawyD/bm3d-gpu,https://github.com/DawyD/bm3d-gpu
Dolorousrtur/CCCollisions,https://github.com/Dolorousrtur/CCCollisions
Doom-modding-and-etc/Wolf4SDL-CPP,https://github.com/Doom-modding-and-etc/Wolf4SDL-CPP
DusteDdk/Osgg,https://github.com/DusteDdk/Osgg
DvDC13/IRGPUA,https://github.com/DvDC13/IRGPUA
EXP-code/EXP,https://github.com/EXP-code/EXP
FakePsyho/halite2,https://github.com/FakePsyho/halite2
GPUPeople/faimGraph,https://github.com/GPUPeople/faimGraph
Gabito2000/GPGPU_Practicos,https://github.com/Gabito2000/GPGPU_Practicos
Globulation2/glob2,https://github.com/Globulation2/glob2
GooFit/GooTorial,https://github.com/GooFit/GooTorial
GooFit/goofit_nips,https://github.com/GooFit/goofit_nips
HaliteChallenge/Halite-II,https://github.com/HaliteChallenge/Halite-II
HenryDzy/XGBoost-Dart-Buffer,https://github.com/HenryDzy/XGBoost-Dart-Buffer
HpWang-whu/YOHO,https://github.com/HpWang-whu/YOHO
HuyNguyen-hust/flash-attn-101,https://github.com/HuyNguyen-hust/flash-attn-101
Ilya246/orbitfight,https://github.com/Ilya246/orbitfight
Ivanlh20/multem,https://github.com/Ivanlh20/multem
JamesDunne/Wolf3D,https://github.com/JamesDunne/Wolf3D
Jarrome/Uni-Fusion,https://github.com/Jarrome/Uni-Fusion
Kaixhin/cuda-workshop,https://github.com/Kaixhin/cuda-workshop
KartKrewDev/RingRacers,https://github.com/KartKrewDev/RingRacers
KennyKangMPC/CS-759,https://github.com/KennyKangMPC/CS-759
Leftium/asteroid,https://github.com/Leftium/asteroid
LemonHaze420/DCMoHo,https://github.com/LemonHaze420/DCMoHo
Licht-T/Ant-Cuda,https://github.com/Licht-T/Ant-Cuda
Lumorti/asciiOrbits,https://github.com/Lumorti/asciiOrbits
Lunidep/PGP_POD,https://github.com/Lunidep/PGP_POD
Lyle-Tafoya/Omega,https://github.com/Lyle-Tafoya/Omega
MIDLART/cuda,https://github.com/MIDLART/cuda
Mathiasb17/Nereus,https://github.com/Mathiasb17/Nereus
MiSTer-devel/Main_MiSTer,https://github.com/MiSTer-devel/Main_MiSTer
Michaelgathara/k-ary-joins,https://github.com/Michaelgathara/k-ary-joins
NKU-EmbeddedSystem/Ascetic,https://github.com/NKU-EmbeddedSystem/Ascetic
NVIDIA/jitify,https://github.com/NVIDIA/jitify
NVIDIA/kmeans,https://github.com/NVIDIA/kmeans
NVIDIA/nvcomp,https://github.com/NVIDIA/nvcomp
ORNL-Fusion/kineticj,https://github.com/ORNL-Fusion/kineticj
Olli1080/Cuda-Bug,https://github.com/Olli1080/Cuda-Bug
OmkarV23/Beamformer-CUDA,https://github.com/OmkarV23/Beamformer-CUDA
OpenSourcedGames/Heretic,https://github.com/OpenSourcedGames/Heretic
OrangeOwlSolutions/streamCompaction,https://github.com/OrangeOwlSolutions/streamCompaction
ParaGroup/WindFlow,https://github.com/ParaGroup/WindFlow
Paul-Wortmann/Star.P.G.,https://github.com/Paul-Wortmann/Star.P.G.
PhantomOtter/Gell,https://github.com/PhantomOtter/Gell
Project-01-01-drone-prlib/computer-mavros_offboard,https://github.com/Project-01-01-drone-prlib/computer-mavros_offboard
RIM17Z/k-means-CUDA,https://github.com/RIM17Z/k-means-CUDA
RSE-Sheffield/CUDALab04,https://github.com/RSE-Sheffield/CUDALab04
RWS-Studios/POSTAL-SourceCode,https://github.com/RWS-Studios/POSTAL-SourceCode
RabbitBio/RabbitQCPlus,https://github.com/RabbitBio/RabbitQCPlus
ReddishRadish01/MyMCNP_Thrust,https://github.com/ReddishRadish01/MyMCNP_Thrust
Rickil/CUDA_project,https://github.com/Rickil/CUDA_project
RoboticsPolyu/IPN_MPC,https://github.com/RoboticsPolyu/IPN_MPC
RoyalCaliber/vertexAPI2,https://github.com/RoyalCaliber/vertexAPI2
Rth-org/Rth,https://github.com/Rth-org/Rth
Ryb7532/AtCoder,https://github.com/Ryb7532/AtCoder
SJTU-IPADS/wukong,https://github.com/SJTU-IPADS/wukong
SRAM/RacerMateDLL,https://github.com/SRAM/RacerMateDLL
SSshuishui/viss_recon,https://github.com/SSshuishui/viss_recon
SZU-AdvTech-2023/041-ASIFT-A-New-Framework-for-Fully-Affine-Invariant-Image-Comparison,https://github.com/SZU-AdvTech-2023/041-ASIFT-A-New-Framework-for-Fully-Affine-Invariant-Image-Comparison
Saikarr/CUDA-KMeans,https://github.com/Saikarr/CUDA-KMeans
Seuss-MD/lab05-Apollo-11,https://github.com/Seuss-MD/lab05-Apollo-11
Sharadeos/Polybius,https://github.com/Sharadeos/Polybius
Shihab-Shahriar/brownian-dynamics-orig,https://github.com/Shihab-Shahriar/brownian-dynamics-orig
Sigfrido11/Rocket_simulator,https://github.com/Sigfrido11/Rocket_simulator
SimonB6/OpenFLIGHT,https://github.com/SimonB6/OpenFLIGHT
StanfordASL/GMT,https://github.com/StanfordASL/GMT
SwaggyTyrion/CADAC,https://github.com/SwaggyTyrion/CADAC
TACIXAT/zmine,https://github.com/TACIXAT/zmine
TEXStudio/xs3k,https://github.com/TEXStudio/xs3k
ToruNiina/lbvh,https://github.com/ToruNiina/lbvh
Tovrik/ECS158HomeworkFinal,https://github.com/Tovrik/ECS158HomeworkFinal
TrimanSingh/temporal-GPU-algos,https://github.com/TrimanSingh/temporal-GPU-algos
Tyson89/Landrover,https://github.com/Tyson89/Landrover
UoB-HPC/miniBUDE,https://github.com/UoB-HPC/miniBUDE
WagleyResearch/ModelRocket,https://github.com/WagleyResearch/ModelRocket
Wajov/ClothSimulator,https://github.com/Wajov/ClothSimulator
Whales/Cataclysm,https://github.com/Whales/Cataclysm
WongAndyStarSB/get_the_gold,https://github.com/WongAndyStarSB/get_the_gold
XanClic/g1,https://github.com/XanClic/g1
Yuanda-Dong/cuda,https://github.com/Yuanda-Dong/cuda
ZJUVAI/DRGraph,https://github.com/ZJUVAI/DRGraph
ZenProtocol-Pool/ccminer-zp,https://github.com/ZenProtocol-Pool/ccminer-zp
acarapetis/asteroid-civil-war,https://github.com/acarapetis/asteroid-civil-war
acemod/ACE3,https://github.com/acemod/ACE3
acfr/gpu-ray-surface-intersection-in-cuda,https://github.com/acfr/gpu-ray-surface-intersection-in-cuda
adnedelcu/halite-bot-2,https://github.com/adnedelcu/halite-bot-2
alan-turing-institute/mogp-emulator,https://github.com/alan-turing-institute/mogp-emulator
alexander-sholohov/msk144cudecoder,https://github.com/alexander-sholohov/msk144cudecoder
alexdantas/sdl2-platformer,https://github.com/alexdantas/sdl2-platformer
alibaba/ai-matrix,https://github.com/alibaba/ai-matrix
alireza-ebrahimi-ai/MadPodRacing-Gold,https://github.com/alireza-ebrahimi-ai/MadPodRacing-Gold
alstonliu730/HPC-Clustering-Benchmark,https://github.com/alstonliu730/HPC-Clustering-Benchmark
anthony-yip/parallel-portfolio-optimization,https://github.com/anthony-yip/parallel-portfolio-optimization
antonmks/Alenka,https://github.com/antonmks/Alenka
artuppp/PupilTrackingGPUPublic,https://github.com/artuppp/PupilTrackingGPUPublic
asbschmidt/CUDASW4,https://github.com/asbschmidt/CUDASW4
ashbash104/Apollo-11-Lab05,https://github.com/ashbash104/Apollo-11-Lab05
ashvardanian/ParallelReductionsBenchmark,https://github.com/ashvardanian/ParallelReductionsBenchmark
aspek1/QuadricCurvature,https://github.com/aspek1/QuadricCurvature
